date,division,games_played,isWinner,losses,pct,team_name,team_short_name,wins
2018-03-29,National League Central,1,True,0,1.000,Chicago Cubs,Chi Cubs,1
2018-03-30,National League Central,1,False,1,.000,Cincinnati Reds,Cincinnati,0
2018-03-30,National League East,1,True,0,1.000,Washington Nationals,Washington,1
2018-03-30,American League Central,1,False,1,.000,Detroit Tigers,Detroit,0
2018-03-30,National League Central,1,True,0,1.000,Pittsburgh Pirates,Pittsburgh,1
2018-03-29,National League West,1,True,0,1.000,Arizona Diamondbacks,Arizona,1
2018-03-29,National League West,1,False,1,.000,Colorado Rockies,Colorado,0
2018-03-29,American League West,1,True,0,1.000,Seattle Mariners,Seattle,1
2018-03-29,National League West,1,False,1,.000,Los Angeles Dodgers,LA Dodgers,0
2018-03-29,National League West,1,True,0,1.000,San Francisco Giants,San Francisco,1
2018-03-29,American League Central,1,False,1,.000,Kansas City Royals,Kansas City,0
2018-03-29,American League Central,1,True,0,1.000,Chicago White Sox,Chi White Sox,1
2018-03-29,National League East,1,True,0,1.000,Atlanta Braves,Atlanta,1
2018-03-29,National League East,1,False,1,.000,Philadelphia Phillies,Philadelphia,0
2018-03-29,National League West,1,False,1,.000,San Diego Padres,San Diego,0
2018-03-29,American League Central,1,False,1,.000,Cleveland Indians,Cleveland,0
2018-03-29,American League West,1,True,0,1.000,Oakland Athletics,Oakland,1
2018-03-29,National League Central,1,True,0,1.000,Milwaukee Brewers,Milwaukee,1
2018-03-29,National League East,1,False,1,.000,Miami Marlins,Miami,0
2018-03-29,National League Central,1,False,1,.000,St. Louis Cardinals,St. Louis,0
2018-03-29,National League East,1,True,0,1.000,New York Mets,NY Mets,1
2018-03-29,American League Central,1,False,1,.000,Minnesota Twins,Minnesota,0
2018-03-29,American League West,1,True,0,1.000,Houston Astros,Houston,1
2018-03-29,American League East,1,True,0,1.000,Baltimore Orioles,Baltimore,1
2018-03-29,American League East,1,True,0,1.000,New York Yankees,NY Yankees,1
2018-03-29,American League East,1,False,1,.000,Toronto Blue Jays,Toronto,0
2018-03-29,American League East,1,False,1,.000,Boston Red Sox,Boston,0
2018-03-29,American League East,1,True,0,1.000,Tampa Bay Rays,Tampa Bay,1
2018-03-29,American League West,1,False,1,.000,Los Angeles Angels,LA Angels,0
2018-03-29,American League West,1,False,1,.000,Texas Rangers,Texas,0
2018-03-30,National League West,2,False,2,.000,Los Angeles Dodgers,LA Dodgers,0
2018-03-31,National League Central,2,False,2,.000,Cincinnati Reds,Cincinnati,0
2018-03-31,National League Central,2,False,2,.000,St. Louis Cardinals,St. Louis,0
2018-03-31,National League East,2,True,0,1.000,New York Mets,NY Mets,2
2018-03-31,National League East,2,True,0,1.000,Washington Nationals,Washington,2
2018-03-31,American League Central,2,True,1,.500,Cleveland Indians,Cleveland,1
2018-04-01,National League Central,2,True,0,1.000,Pittsburgh Pirates,Pittsburgh,2
2018-03-31,American League Central,2,True,1,.500,Minnesota Twins,Minnesota,1
2018-03-31,American League East,2,False,1,.500,Baltimore Orioles,Baltimore,1
2018-04-01,American League Central,2,False,2,.000,Detroit Tigers,Detroit,0
2018-03-31,American League Central,2,True,0,1.000,Chicago White Sox,Chi White Sox,2
2018-03-31,American League Central,2,False,2,.000,Kansas City Royals,Kansas City,0
2018-03-30,National League West,2,True,0,1.000,San Francisco Giants,San Francisco,2
2018-03-31,American League West,2,False,1,.500,Seattle Mariners,Seattle,1
2018-03-30,National League West,2,False,2,.000,San Diego Padres,San Diego,0
2018-03-30,National League East,2,True,1,.500,Philadelphia Phillies,Philadelphia,1
2018-03-30,American League West,2,False,1,.500,Oakland Athletics,Oakland,1
2018-03-30,National League Central,2,True,0,1.000,Milwaukee Brewers,Milwaukee,2
2018-03-30,National League East,2,False,1,.500,Atlanta Braves,Atlanta,1
2018-03-30,American League East,2,False,1,.500,Tampa Bay Rays,Tampa Bay,1
2018-03-30,National League Central,2,False,1,.500,Chicago Cubs,Chi Cubs,1
2018-03-30,American League East,2,False,2,.000,Toronto Blue Jays,Toronto,0
2018-03-30,American League East,2,True,1,.500,Boston Red Sox,Boston,1
2018-03-30,American League West,2,False,1,.500,Houston Astros,Houston,1
2018-03-30,American League West,2,True,1,.500,Texas Rangers,Texas,1
2018-03-30,National League West,2,False,2,.000,Colorado Rockies,Colorado,0
2018-03-30,National League West,2,True,0,1.000,Arizona Diamondbacks,Arizona,2
2018-03-30,American League West,2,True,1,.500,Los Angeles Angels,LA Angels,1
2018-03-30,American League East,2,True,0,1.000,New York Yankees,NY Yankees,2
2018-03-30,National League East,2,True,1,.500,Miami Marlins,Miami,1
2018-04-01,National League Central,3,True,0,1.000,Pittsburgh Pirates,Pittsburgh,3
2018-04-01,American League Central,3,False,3,.000,Detroit Tigers,Detroit,0
2018-04-01,American League Central,3,True,1,.667,Minnesota Twins,Minnesota,2
2018-03-31,National League West,3,True,2,.333,Los Angeles Dodgers,LA Dodgers,1
2018-04-01,National League Central,3,True,2,.333,St. Louis Cardinals,St. Louis,1
2018-04-01,National League East,3,False,1,.667,New York Mets,NY Mets,2
2018-04-01,American League Central,3,False,2,.333,Cleveland Indians,Cleveland,1
2018-04-01,American League West,3,True,1,.667,Seattle Mariners,Seattle,2
2018-04-01,National League Central,3,False,3,.000,Cincinnati Reds,Cincinnati,0
2018-04-02,American League Central,3,False,3,.000,Kansas City Royals,Kansas City,0
2018-04-02,American League Central,3,False,1,.667,Chicago White Sox,Chi White Sox,2
2018-04-01,American League East,3,False,2,.333,Baltimore Orioles,Baltimore,1
2018-03-31,National League West,3,False,1,.667,San Francisco Giants,San Francisco,2
2018-04-01,National League East,3,True,0,1.000,Washington Nationals,Washington,3
2018-03-31,National League Central,3,True,0,1.000,Milwaukee Brewers,Milwaukee,3
2018-03-31,American League West,3,True,1,.667,Houston Astros,Houston,2
2018-03-31,American League West,3,True,1,.667,Los Angeles Angels,LA Angels,2
2018-03-31,American League West,3,False,2,.333,Oakland Athletics,Oakland,1
2018-03-31,American League East,3,False,1,.667,New York Yankees,NY Yankees,2
2018-03-31,American League East,3,True,2,.333,Toronto Blue Jays,Toronto,1
2018-03-31,American League West,3,False,2,.333,Texas Rangers,Texas,1
2018-03-31,American League East,3,True,1,.667,Boston Red Sox,Boston,2
2018-03-31,National League West,3,False,3,.000,San Diego Padres,San Diego,0
2018-03-31,National League West,3,False,1,.667,Arizona Diamondbacks,Arizona,2
2018-03-31,National League West,3,True,2,.333,Colorado Rockies,Colorado,1
2018-03-31,National League Central,3,True,1,.667,Chicago Cubs,Chi Cubs,2
2018-03-31,National League East,3,False,2,.333,Miami Marlins,Miami,1
